nom,nom_breton
Betton,Lanvezhon
Bruz,Bruz
Cesson-Sévigné,Saozon-Sevigneg
Chantepie,Kantpig
Dinard,Dinarzh
Fougères,Felger
Pacé,Pazieg
Redon,Redon
Rennes,Roazhon
Saint-Jacques-de-la-Lande,Sant-Jakez-Al-Lann
Saint-Malo,Sant-Maloù
Vitré,Gwitreg
Binic,Binig
Dinan,Dinan
Guingamp,Gwengamp
Lamballe,Lambal
Lannion,Lannuon
Loudéac,Loudieg
Paimpol,Pempoull
Perros-Guirec,Perroz-Gireg
Plérin,Plerin
Saint-Brieuc,Sant-Brieg
Tréguier,Landreger
Yffiniac,Iffinieg
Brest,Brest
Carhaix-Plouguer,Karaez-Plougêr
Châteaulin,Kastellin
Concarneau,Konk-Kerne
Crozon,Kraozon
Douarnenez,Douarnenez
Guipavas,Gwipavaz
Landerneau,Landerne
Landivisiau,Landivizio
Le Relecq-Kerhuon,ar Releg-Kerhuon
Morlaix,Montroulez
Plougastel-Daoulas,Plougastell-Daoulaz
Quimper,Kemper
Quimperlé,Kemperle
Auray,an Alre
Guidel,Gwidel
Hennebont,Henbont
Lanester,Lannarstêr
Languidic,Langedig
Larmor-Plage,an Arvor
Lorient,An Oriant
Plœumeur,Plañvour
Pontivy,Pondi
Quéven,Kewenn
Quiberon,Kiberen
Saint-Avé,Sant-Teve
Sarzeau,Sarzhav
Vannes,Gwened
Côtes d’Armor,Aodoù-an-Arvor
Finistère,Penn-ar-Bed
Ille-et-Vilaine,Ill-ha-Gwilen
Morbihan,Mor-Bihan
